,S.No,BrandName,Product ID,Product Name,Brand Desc,Product Size,Currency,MRP,SellPrice,Discount,Category,delta
3931,3932,catwalk,CATWALK168,CATWALK168 - Footwear-Women,pu slipon womens casual wear flat sandals - bronze,"Size:4,5,6,7,8,9",Rs.,2295.0,1836,20% off,Footwear-Women,459.0
3932,3933,catwalk,CATWALK169,CATWALK169 - Footwear-Women,pu round toe womens party wear sandals - silver grey,"Size:5,6,7",Rs.,2495.0,1996,20% off,Footwear-Women,499.0
3933,3934,catwalk,CATWALK170,CATWALK170 - Footwear-Women,womens metal accent thongs - natural,"Size:4,5,6,7,8,9",Rs.,2295.0,1836,20% off,Footwear-Women,459.0
3934,3935,catwalk,CATWALK171,CATWALK171 - Footwear-Women,solid patent lace up womens formal mules - black,"Size:4,5,6,7,8,9",Rs.,3095.0,2476,20% off,Footwear-Women,619.0
3935,3936,catwalk,CATWALK172,CATWALK172 - Footwear-Women,womens iridescent platform sneakers - green,"Size:4,5,6,7,8,9",Rs.,3795.0,3036,20% off,Footwear-Women,759.0
3936,3937,catwalk,CATWALK173,CATWALK173 - Footwear-Women,womens elastic ankle straps sandals - black,"Size:4,5,6,7,8,9",Rs.,1995.0,1596,20% off,Footwear-Women,399.0
3937,3938,catwalk,CATWALK174,CATWALK174 - Footwear-Women,pu slipon womens casual wear flat sandals - gunmetal,Size:6,Rs.,2395.0,1119,53% off,Footwear-Women,1276.0
3938,3939,catwalk,CATWALK175,CATWALK175 - Footwear-Women,fabric slipon womens casual wear platforms - brown,"Size:4,5,6,7,8",Rs.,2695.0,2156,20% off,Footwear-Women,539.0
3939,3940,catwalk,CATWALK176,CATWALK176 - Footwear-Women,fabric buckle womens casual wear ballerinas - gold,"Size:6,7",Rs.,2495.0,1996,20% off,Footwear-Women,499.0
3940,3941,catwalk,CATWALK177,CATWALK177 - Footwear-Women,pu buckle womens occasion wear flat sandals - gold,Size:7,Rs.,2695.0,1347,50% off,Footwear-Women,1348.0
3941,3942,catwalk,CATWALK178,CATWALK178 - Footwear-Women,suede tie up womens casual wear boots - brown,"Size:4,5,6,7,8,9",Rs.,3495.0,2796,20% off,Footwear-Women,699.0
3942,3943,catwalk,CATWALK179,CATWALK179 - Footwear-Women,patent slip on womens occasion wear boots - black,"Size:4,5,6,7,8,9",Rs.,4095.0,3276,20% off,Footwear-Women,819.0
3943,3944,catwalk,CATWALK180,CATWALK180 - Footwear-Women,womens textured ankle strap sandals - black,"Size:4,5,6,7,8",Rs.,2095.0,1676,20% off,Footwear-Women,419.0
